         12681992 function calls (12672568 primitive calls) in 6.645 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      800    0.000    0.000    0.000    0.000 base.py:925(__len__)
     2737    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_float}
     2305    0.000    0.000    0.000    0.000 indexing.py:1127(_has_valid_setitem_indexer)
       38    0.000    0.000    0.000    0.000 base.py:881(_engine)
     2016    0.000    0.000    0.000    0.000 fromnumeric.py:2183(_sum_dispatcher)
      216    0.000    0.000    0.000    0.000 global_func.py:284(<listcomp>)
       72    0.000    0.000    0.000    0.000 numeric.py:1348(normalize_axis_tuple)
       72    0.000    0.000    0.011    0.000 function_base.py:5506(digitize)
     2484    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       72    0.000    0.000    0.000    0.000 global_func.py:284(<dictcomp>)
      294    0.000    0.000    0.008    0.000 <__array_function__ internals>:177(copyto)
      376    0.000    0.000    0.003    0.000 {method 'clip' of 'numpy.ndarray' objects}
     1407    0.000    0.000    0.000    0.000 flags.py:53(allows_duplicate_labels)
      150    0.000    0.000    0.007    0.000 numeric.py:290(full)
       38    0.000    0.000    0.000    0.000 warnings.py:130(filterwarnings)
       36    0.000    0.000    0.002    0.000 managers.py:689(reindex_indexer)
       72    0.000    0.000    0.000    0.000 global_func.py:439(<dictcomp>)
      144    0.000    0.000    0.000    0.000 {method 'prod' of 'numpy.generic' objects}
       39    0.000    0.000    0.000    0.000 base.py:588(_dtype_to_subclass)
       72    0.000    0.000    0.000    0.000 stride_tricks.py:416(_broadcast_shape)
       69    0.000    0.000    0.000    0.000 construction.py:493(sanitize_array)
       35    0.000    0.000    0.000    0.000 getlimits.py:668(__init__)
       72    0.000    0.000    0.000    0.000 stride_tricks.py:480(broadcast_arrays)
       72    0.000    0.000    0.008    0.000 arraysetops.py:766(isin)
       72    0.000    0.000    0.001    0.000 warnings.py:20(_showwarnmsg_impl)
       36    0.000    0.000    0.001    0.000 blocks.py:861(take_nd)
      206    0.000    0.000    0.000    0.000 common.py:1591(_is_dtype_type)
      108    0.000    0.000    0.000    0.000 global_func.py:306(p_maternal_death)
       72    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.ndarray' objects}
      360    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       72    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
      360    0.000    0.000    0.000    0.000 global_func.py:160(comp2_comp1_anemia)
       36    0.000    0.000    0.000    0.000 numeric.py:132(_ensure_array)
       36    0.000    0.000    0.000    0.000 shape_base.py:81(atleast_2d)
      433    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
       72    0.000    0.000    0.000    0.000 warnings.py:403(__init__)
      144    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(prod)
